0:0:0:0:0:0:0:1 - - [04/Dec/2020:21:18:22 +0000] "GET /Farmacia/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2020:21:18:22 +0000] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2020:21:18:22 +0000] "GET /Farmacia/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2020:21:18:22 +0000] "GET /Farmacia/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2020:21:18:22 +0000] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2020:21:18:22 +0000] "GET /Farmacia/faces/javax.faces.resource/layout/layout.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2020:21:18:22 +0000] "GET /Farmacia/faces/javax.faces.resource/images/ui-bg_inset-hard_100_fcfdfd_1x100.png?ln=primefaces-start HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2020:21:18:22 +0000] "GET /Farmacia/faces/javax.faces.resource/images/ui-bg_gloss-wave_75_2191c0_500x100.png?ln=primefaces-start HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2020:21:18:22 +0000] "GET /Farmacia/faces/javax.faces.resource/images/ui-icons_0078ae_256x240.png?ln=primefaces-start HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2020:21:18:26 +0000] "GET /Farmacia/faces/javax.faces.resource/images/ui-bg_glass_75_79c9ec_1x400.png?ln=primefaces-start HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2020:21:18:26 +0000] "GET /Farmacia/faces/javax.faces.resource/images/ui-icons_056b93_256x240.png?ln=primefaces-start HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2020:21:18:52 +0000] "GET /Farmacia/faces/templates/modeloSistema.xhtml HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [04/Dec/2020:21:18:52 +0000] "GET /Farmacia/faces/templates/RES_NOT_FOUND HTTP/1.1" 500 2047
0:0:0:0:0:0:0:1 - - [04/Dec/2020:21:18:52 +0000] "GET /Farmacia/faces/javax.faces.resource/theme.css?ln=primefaces-start HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2020:21:18:52 +0000] "GET /Farmacia/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2020:21:18:52 +0000] "GET /Farmacia/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2020:21:18:52 +0000] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2020:21:18:52 +0000] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2020:21:18:52 +0000] "GET /Farmacia/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2020:21:18:52 +0000] "GET /Farmacia/faces/javax.faces.resource/layout/layout.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2020:21:18:52 +0000] "GET /Farmacia/faces/javax.faces.resource/images/ui-bg_inset-hard_100_fcfdfd_1x100.png?ln=primefaces-start HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2020:21:18:52 +0000] "GET /Farmacia/faces/javax.faces.resource/images/ui-bg_gloss-wave_75_2191c0_500x100.png?ln=primefaces-start HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2020:21:19:04 +0000] "GET /Farmacia/faces/pages/principal.xhtml HTTP/1.1" 200 5272
